RECIPE NAME,RECIPE CODE,CATEGORY,RESTAURANT,FINAL PRICE,MERIDES,HIDE FROM APP,RECIPE INGREDIENTS,RECIPE COST,RECIPE COST composite,RECIPE COST / MERIDES,VAT,VAT 13%,VAT 13% composite,TOTAL,TOTAL/MERIDA,TOTAL / MERIDA composite,x3,x4,INGREDIENTS,OIK104 MENU INGREDIENTS,OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS copy,OIK512 MENU_,COMMON OR REMOVE (from OIK512 MENU_),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS copy
ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,,ΕΝΔΙΑΜΕΣΑ,OIK104,,1,,"ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ","1,36","1,36","1,36",13,"0,18","0,18","1,53","1,53","1,53","4,59","6,13",ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,,,,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,,"ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ",
ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),,ΟΡΕΚΤΙΚΑ,OIK104,"€0,0",1,,"ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ)","1,78","1,78","1,78",13,"0,23","0,23","2,01","2,01","2,01","6,04","8,05",,,,,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),,"ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ)",
ΜΕΙΓΜΑ ΚΡΕΠΑΣ,,ΕΝΔΙΑΜΕΣΑ,OIK512,,1,,,"0,00","0,00","0,00",13,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",ΜΕΙΓΜΑ ΚΡΕΠΑΣ,,,,,,,
ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,"€8,5",1,,"ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ","0,89","0,89","0,89",13,"0,12","0,12","1,01","1,01","1,01","3,02","4,02",,,,,ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,,"ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ, ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ, ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ",
ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,,ΟΡΕΚΤΙΚΑ,OIK104,,5,,"ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ","2,96","2,96","0,59",13,"0,39","0,39","3,35","0,67","0,67","2,01","2,68",,,,,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,,"ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ",
ΜΕΤΣΟΒΟΝΕ,,ΤΥΡΙΑ,OIK104,,1,,ΜΕΤΣΟΒΟΝΕ,"0,75","0,75","0,75",13,"0,10","0,10","0,85","0,85","0,85","2,54","3,39",,,,,ΜΕΤΣΟΒΟΝΕ,,ΜΕΤΣΟΒΟΝΕ,
ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,,1,,"ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ","2,47","2,47","2,47",13,"0,32","0,32","2,79","2,79","2,79","8,38","11,17",,,,,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,,"ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ",
ΜΟΣΧΑΡΙΣΙΑ ΜΠΡΙΖΟΛΑ,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,"€29,0",1,,,"0,00","0,00","0,00",13,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,ΜΟΣΧΑΡΙΣΙΑ ΜΠΡΙΖΟΛΑ,,"ΜΟΣΧΑΡΙΣΙΑ ΜΠΡΙΖΟΛΑ, ΜΟΣΧΑΡΙΣΙΑ ΜΠΡΙΖΟΛΑ, ΜΟΣΧΑΡΙΣΙΑ ΜΠΡΙΖΟΛΑ",
ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,,1,,"ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ,ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ,ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ","12,07","12,07","12,07",13,"1,57","1,57","13,64","13,64","13,64","40,93","54,57",,,,,ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ,,"ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ, ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ, ΜΟΣΧΑΡΙΣΙΑ ΣΠΑΛΟΜΠΡΙΖΟΛΑ",
ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,"€10,0",12,,"ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ","13,60","14,87","1,24",13,"1,77","1,93","16,80","1,28","1,40","4,20","5,60",,,,,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,"ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ",
ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,,ΠΡΩΙΝΟ,OIK512,,1,,"ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ","37,01","37,01","37,01",13,"4,81","4,81","41,82","41,82","41,82","125,47","167,29",,,,,,,,
ΜΠΕΡΓΚΕΡ ,,ΣΝΑΚΣ,OIK512,,1,,"ΜΠΕΡΓΚΕΡ ,ΜΠΕΡΓΚΕΡ ,ΜΠΕΡΓΚΕΡ ,ΜΠΕΡΓΚΕΡ ,ΜΠΕΡΓΚΕΡ ,ΜΠΕΡΓΚΕΡ ,ΜΠΕΡΓΚΕΡ ","0,42","0,70","0,70",13,"0,06","0,09","0,79","0,48","0,79","2,37","3,16",,,,,,,,
ΜΠΕΡΓΚΕΡ YACHT CLUB,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,"€11,0",1,,"ΜΠΕΡΓΚΕΡ YACHT CLUB,ΜΠΕΡΓΚΕΡ YACHT CLUB,ΜΠΕΡΓΚΕΡ YACHT CLUB,ΜΠΕΡΓΚΕΡ YACHT CLUB,ΜΠΕΡΓΚΕΡ YACHT CLUB,ΜΠΕΡΓΚΕΡ YACHT CLUB,ΜΠΕΡΓΚΕΡ YACHT CLUB,ΜΠΕΡΓΚΕΡ YACHT CLUB,ΜΠΕΡΓΚΕΡ YACHT CLUB","0,75","1,04","1,04",13,"0,10","0,14","1,18","0,85","1,18","3,54","4,72",,,,,ΜΠΕΡΓΚΕΡ YACHT CLUB,,"ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΕΡΓΚΕΡ YACHT CLUB, ΜΠΕΡΓΚΕΡ YACHT CLUB",
ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,,ΕΝΔΙΑΜΕΣΑ,"OIK104,OIK512",,12,,"ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ","6,72","6,72","0,56",13,"0,87","0,87","7,60","0,63","0,63","1,90","2,53","ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ",,,,,,"""ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ"", ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ",
ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,,ΕΝΔΙΑΜΕΣΑ,OIK104,,1,,"ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ","1,02","1,02","1,02",13,"0,13","0,13","1,15","1,15","1,15","3,45","4,60",ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,,,,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,,"ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ",
ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,"€12,0",1,,"ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ","0,06","0,29","0,29",13,"0,01","0,04","0,33","0,06","0,33","0,99","1,32",,,,,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ,,"ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ",
ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,,ΕΝΔΙΑΜΕΣΑ,OIK104,,11,,"ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ","11,57","11,57","1,05",13,"1,50","1,50","13,07","1,19","1,19","3,56","4,75",ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,,,,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,,"ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ",
ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,,1,,"ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ,ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ,ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ","9,78","9,78","9,78",13,"1,27","1,27","11,05","11,05","11,05","33,14","44,19",,,,,ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ,,"ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ, ΜΠΡΙΖΟΛΑ ΜΟΣΧΑΡΙΣΙΑ",
ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,,1,,"""ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ, ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ ΛΑΙΜΟΥ"",ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ,ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ","4,98","4,98","4,98",13,"0,65","0,65","5,63","5,63","5,63","16,88","22,51",,,,,ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ,,"ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ, ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ",
ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ ΛΑΙΜΟΥ,,ΚΥΡΙΩΣ,OIK512,,1,,"""ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ, ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ ΛΑΙΜΟΥ"",ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ ΛΑΙΜΟΥ,ΜΠΡΙΖΟΛΑ ΧΟΙΡΙΝΗ ΛΑΙΜΟΥ","7,22","7,49","7,49",13,"0,94","0,97","8,47","8,16","8,47","25,41","33,88",,,,,,,,
ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,"€18,0",1,,"ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ,ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ,ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ","3,36","3,36","3,36",13,"0,44","0,44","3,79","3,79","3,79","11,37","15,16",,,,,ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ,,"ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ, ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ, ΜΠΡΙΖΟΛΟΠΑΝΣΕΤΑ ΧΟΙΡΙΝΗ",
