Ingredient,Supplier,Cost per kg,Select,Ingredient Category,Cost Kg w Composite,Composite cost,TOTAL/MERIDA (from Composite cost),Imported table,OIK104 MENU INGREDIENTS copy,datecreated,OIK104 MENU,OIK104 MENU copy,OIK104 MENU INGREDIENTS copy,SUPPLIES 2025,SUPPLIES 2026,Q 2025 (from SUPPLIES 2026),Q 2026 (from SUPPLIES 2026),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS
ΑΝΙΘΟΣ,ΜΠΕΛΟΣ,"1,63",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,63",,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ",,4/4/2025 11:54pm,,,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),,,,,"ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ), ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ",
ΑΝΤΖΟΥΓΙΕΣ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","28,20",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"28,20",,,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,,6/4/2025 8:28am,,,,,,,,"ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ",
ΑΠΥΡΗΝΟ ΔΑΜΑΣΚΗΝΟ,,,CONNECTED INGREDIENTS,,,,,,,8/4/2025 6:08pm,,,,,,,,,
ΑΠΥΡΗΝΟ ΔΑΜΑΣΚΗΝΟ ,,"5,10",CONNECTED INGREDIENTS,SUPER FOOD,"5,10",,,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,,6/4/2025 8:19am,,,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,,,,,,
ΑΡΝΙ ΚΟΤΣΙ,ΕΡΜΗΣ,"12,63",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"12,63",,,ΑΡΝΙ ΚΟΤΣΙ,,6/4/2025 8:24am,,,,,,,,ΑΡΝΙ ΚΟΤΣΙ,
ΑΡΝΙ ΧΕΡΑΚΙ,,"8,98",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"8,98",,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ",,6/4/2025 8:24am,,,,,,,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ",
ΑΥΓΑ,ΜΠΟΒΑ,"0,27",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"0,27",,,"ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΚΡΕΠΑ,ΒΑΦΛΑ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΣΚΡΑΜΠΛ,ΣΠΙΤΙΚΟ ΚΕΙΚ,ΣΤΡΑΠΑΤΣΑΔΑ",,6/4/2025 8:28am,,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΣΤΡΑΠΑΤΣΑΔΑ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΣΚΡΑΜΠΛ,ΣΠΙΤΙΚΟ ΚΕΙΚ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ",,,,,"ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ, ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ, ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ), ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΚΡΕΠΑ, ΒΑΦΛΑ",
ΑΥΓΟΤΑΡΑΧΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","98,00",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"98,00",,,,,6/4/2025 8:28am,,,,,,,,,
ΒΑΛΣΑΜΙΚΟ,,,CONNECTED INGREDIENTS,,,,,,,9/4/2025 9:17am,,,,,,,,,
ΒΑΛΣΑΜΙΚΟ (5Λ/ΤΜΧ),"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,85",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,85",,,"ΣΑΛΤΣΑ  ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000",,6/4/2025 8:28am,,,,,,,,"ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000, ΣΑΛΤΣΑ  ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000, Unnamed record, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000",
