Ingredient,Supplier,Cost per kg,Select,Ingredient Category,Cost Kg w Composite,Composite cost,TOTAL/MERIDA (from Composite cost),Imported table,OIK104 MENU INGREDIENTS copy,datecreated,OIK104 MENU,OIK104 MENU copy,OIK104 MENU INGREDIENTS copy,SUPPLIES 2025,SUPPLIES 2026,Q 2025 (from SUPPLIES 2026),Q 2026 (from SUPPLIES 2026),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS
ΕΡΙΦΙ ΚΜΤ ΜΕ ΣΚΟΡΔΟ-ΜΑΙΝΤΑΝΟ 140γρ,,"16,80",CONNECTED INGREDIENTS,ΤΥΡΟΚΟΜΙΚΑ,"16,80",,,,,6/4/2025 8:19am,,,,,,,,,
ΖΑΧΑΡΗ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","0,91",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"0,91",,,"ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΠΙΤΣΑΣ,ΚΡΕΠΑ,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΡΥΖΟΓΑΛΟ,ΣΠΙΤΙΚΟ ΚΕΙΚ",,6/4/2025 8:28am,,,"ΣΠΙΤΙΚΟ ΚΕΙΚ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΡΥΖΟΓΑΛΟ",,,,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ, ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΠΙΤΣΑΣ, ΚΡΕΠΑ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ",
ΖΑΧΑΡΗ ΑΧΝΗ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,64",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,64",,,ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,,6/4/2025 8:28am,,,ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,,,,,,
ΖΑΧΑΡΗ ΚΑΣΤΑΝΗ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,59",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,59",,,"ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ",,6/4/2025 8:28am,,,,,,,,"ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ",
ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,45",ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,"0,45","Unnamed record,ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,ΜΑΡΓΑΡΙΤΑ,ΠΑΙΔΙΚΗ,ΠΕΠΕΡΟΝΙ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΠΟΛΟ,ΠΡΟΣΟΥΤΟ,ΣΚΟΡΔΟΤΥΡΟΨΩΜΟ,ΣΚΟΡΔΟΨΩΜΟ,ΣΠΕΣΙΑΛ,ΤΥΡΟΨΩΜΟ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,4 ΕΠΟΧΕΣ",,7/5/2025 7:07am,,,"ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΜΑΡΓΑΡΙΤΑ,ΠΑΙΔΙΚΗ,4 ΕΠΟΧΕΣ,ΠΕΠΕΡΟΝΙ,ΣΠΕΣΙΑΛ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,ΤΥΡΟΨΩΜΟ,ΣΚΟΡΔΟΨΩΜΟ,ΣΚΟΡΔΟΤΥΡΟΨΩΜΟ,ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,ΠΡΟΣΟΥΤΟ,ΠΟΛΟ",,,,,,
ΖΩΜΟΣ ΚΟΤΑΣ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","4,80",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"4,80",,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,,6/4/2025 8:28am,,,,,,,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,
ΗΛΙΕΛΑΙΟ,,,CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,,,,,,9/4/2025 9:17am,,,ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,,,,,ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ,
ΗΛΙΕΛΑΙΟ 10ΛΙΤΡΩΝ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,88",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,88",,,"ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ),ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ,ΤΥΡΟΚΑΥΤΕΡΗ,ΧΤΑΠΟΔΙ ΞΥΔΑΤΟ",,6/4/2025 8:28am,,,"ΤΥΡΟΚΑΥΤΕΡΗ,ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ)							,ΧΤΑΠΟΔΙ ΞΥΔΑΤΟ",,,,,"ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ ΜΕΡΙΔΑ (250 ΓΡ), ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΠΑΤΑΤΕΣ ΤΗΓΑΝΗΤΕΣ 1 ΚΙΛΟ",
ΗΛΙΕΛΑΙΟ 10ΛΙΤΡΩΝ ΕΙΣΑΓΩΓΗΣ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,88",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,88",,,,,6/4/2025 8:28am,,,,,,,,,
ΗΛΙΟΣΠΟΡΟΣ ΨΙΧΑ,,"1,75",CONNECTED INGREDIENTS,SUPER FOOD,"1,75",,,,,6/4/2025 8:19am,,,,,,,,,
ΚΑΚΑΟ,,"8,60",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"8,60",,,ΣΠΙΤΙΚΟ ΚΕΙΚ,,7/5/2025 9:49am,,,ΣΠΙΤΙΚΟ ΚΕΙΚ,,,,,,
ΚΑΛΑΜΑΡΙΑ,ΓΑΖΗΣ,"16,17",CONNECTED INGREDIENTS,ΨΑΡΙΑ,"16,17",,,ΚΑΛΑΜΑΡΙ ΨΗΤΟ,,6/4/2025 8:25am,,,,,,,,ΚΑΛΑΜΑΡΙ ΨΗΤΟ,
ΚΑΝΕΛΛΑ ΞΥΛΟ 500,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","11,74",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"11,74",,,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,6/4/2025 8:28am,,,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ,,,,,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,
ΚΑΝΕΛΛΑ ΤΡΙΜΜΕΝΗ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","12,46",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"12,46",,,"ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ",,6/4/2025 8:28am,,,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,,,,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ",
ΚΑΠΑΡΗ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","6,00",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"6,00",,,"ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΝΤΑΚΟΣ",,6/4/2025 8:28am,,,ΝΤΑΚΟΣ,,,,,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,
ΚΑΠΑΡΟΜΗΛΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","7,10",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"7,10",,,"ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ",,6/4/2025 8:28am,,,,,,,,"ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ",
ΚΑΠΑΡΟΦΥΛΛΑ,,"3,80",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"3,80",,,"ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ",,8/4/2025 9:25pm,,,,,,,,"ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ",
ΚΑΠΝΙΣΤΟ ΧΕΛΙ,,"49,90",CONNECTED INGREDIENTS,ΨΑΡΙΑ,"49,90",,,ΧΕΛΙ ΚΕΡΑΜΙΔΙ,,6/4/2025 8:25am,,,,,,,,ΧΕΛΙ ΚΕΡΑΜΙΔΙ,
ΚΑΡΟΤΑ,,"0,70",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"0,70",,,"ΦΑΒΑ 5 ΜΕΡΙΔΕΣ,ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,BIANCO,ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ",,5/4/2025 8:36am,,,ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,,,,,"BIANCO, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ, ΦΑΒΑ 5 ΜΕΡΙΔΕΣ, ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ",
ΚΑΡΥΔΟΨΙΧΑ,,"4,80",CONNECTED INGREDIENTS,SUPER FOOD,"4,80",,,"ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ",,6/4/2025 8:19am,,,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,,,,,"ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ",
ΚΑΣΙΟΥΣ ΩΜΑ,,"7,65",CONNECTED INGREDIENTS,SUPER FOOD,"7,65",,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),,8/4/2025 4:45pm,,,,,,,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),
ΚΕΤΣΑΠ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,54",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,54",,,"ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ",,6/4/2025 8:28am,,,,,,,,"ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ, ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ, ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ",
ΚΙΜΑΣ,,"7,00",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"7,00",,,"ΣΚΙΟΥΦΙΧΤΑ ΜΕ ΚΙΜΑ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,ΚΙΜΑΣ 1 ΚΙΛΟΥ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ",,6/4/2025 8:24am,,,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ,,,,,"ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΣΚΙΟΥΦΙΧΤΑ ΜΕ ΚΙΜΑ, ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ, ΚΙΜΑΣ 1 ΚΙΛΟΥ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ",
ΚΙΜΑΣ 1 ΚΙΛΟΥ,,,CONNECTED INGREDIENTS,COMPOSITE,"9,14",ΚΙΜΑΣ 1 ΚΙΛΟΥ,"9,14",,,9/4/2025 8:55am,,,,,,,,,
ΚΙΜΙΝΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","12,10",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"12,10",,,ΧΟΥΜΟΥΣ,,6/4/2025 8:28am,,,,,,,,ΧΟΥΜΟΥΣ,
ΚΙΝΟΑ ΚΟΚΚΙΝΗ,,"3,55",CONNECTED INGREDIENTS,SUPER FOOD,"3,55",,,,,6/4/2025 8:19am,,,,,,,,,
ΚΙΝΟΑ ΛΕΥΚΗ,,"3,48",CONNECTED INGREDIENTS,SUPER FOOD,"3,48",,,,,6/4/2025 8:19am,,,,,,,,,
ΚΟΛΙΑΝΔΡΟ,,"1,80",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,80",,,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),,5/4/2025 8:36am,,,,,,,,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),
ΚΟΛΟΚΥΘΑΚΙΑ,,"1,40",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,40",,,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,,5/4/2025 8:36am,,,,,,,,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,
ΚΟΛΟΚΥΘΟΣΠΟΡΟΣ ΨΙΧΑ,,"5,30",CONNECTED INGREDIENTS,SUPER FOOD,"5,30",,,,,6/4/2025 8:19am,,,,,,,,,
ΚΟΜΠΟΣΤΑ ΑΝΑΝΑΣ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","2,31",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,31",,,,,6/4/2025 8:28am,,,,,,,,,
ΚΟΝΙΑΚ,,,CONNECTED INGREDIENTS,ΠΟΤΑ,,,,"ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ,ΣΩΣ ΚΙΤΡΙΝΗ",,9/4/2025 9:16am,,,,,,,,"ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ, ΣΩΣ ΚΙΤΡΙΝΗ",
ΚΟΝΚΑΣΕ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,58",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,58",,,"ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,ΣΑΛΤΣΑ ΠΙΤΣΑΣ",,6/4/2025 8:28am,,,,,,,,"ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ, ΣΑΛΤΣΑ ΠΙΤΣΑΣ",
ΚΟΤΟΠΟΥΛΟ ΚΙΜΑΣ,,"6,50",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"6,50",,,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,,6/4/2025 8:24am,,,,,,,,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,
ΚΟΤΟΠΟΥΛΟ ΦΙΛΕΤΟ,,"5,20",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"5,20",,,"ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΑΤΑ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟΥ,ΦΙΛΕΤΟ ΚΟΤΟΠΟΥΛΟ,ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΠΟΛΟ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ",,6/4/2025 8:24am,,,"ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΣΑΛΑΤΑ ΚΟΤΟΠΟΥΛΟ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,ΠΟΛΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ",,,,,"ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ, ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΣΑΛΑΤΑ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟΥ, ΦΙΛΕΤΟ ΚΟΤΟΠΟΥΛΟ",
ΚΟΥΚΟΥΝΑΡΙ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","60,48",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"60,48",,,ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ,,6/4/2025 8:28am,,,,,,,,ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ,
ΚΟΥΡΚΟΥΜΑΣ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","3,35",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"3,35",,,,,6/4/2025 8:28am,,,,,,,,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,
ΚΡΑΣΙ ,,"10,00",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"10,00",,,"ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ",,10/4/2025 3:48pm,,,,,,,,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,
ΚΡΕΜΑ ΒΑΛΣΑΜΙΚΟ 500ML (2τμχ),"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","4,28",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"4,28",,,,,6/4/2025 8:28am,,,,,,,,,
ΚΡΕΜΑ ΓΑΛΑΚΤΟΣ,,,CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,,,,,,9/4/2025 9:05am,,,,,,,,"ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ, ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ",
ΚΡΕΜΑ ΓΑΛΑΚΤΟΣ (3κ/τμχ),"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","6,62",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"6,62",,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ",,6/4/2025 8:28am,,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ",,,,,"ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ), ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,  ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ,  ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ",
